Date,AAPL close,AAPL signal,Cash,AAPL shorted,AAPL bought,AAPL cash,AAPL sold,Daily_Ret
2000-02-14,1.0340402126312256,0,20000.0,0,0,20000.0,0,0.0
2000-02-15,1.0625,0,20000.0,0,0,20000.0,0,0.0
2000-02-16,1.0189732313156128,0,20000.0,0,0,20000.0,0,0.0
2000-02-17,1.0256696939468384,0,20000.0,0,0,20000.0,0,0.0
2000-02-18,0.9933035969734192,0,20000.0,0,0,20000.0,0,0.0
2000-02-22,1.0161830186843872,0,20000.0,0,0,20000.0,0,0.0
2000-02-23,1.0379464626312256,0,20000.0,0,0,20000.0,0,0.0
2000-02-24,1.0285993814468384,0,20000.0,0,0,20000.0,0,0.0
2000-02-25,0.9854910969734192,0,20000.0,0,0,20000.0,0,0.0
2000-02-28,1.0111607313156128,0,20000.0,0,0,20000.0,0,0.0
2000-02-29,1.0234375,0,20000.0,0,0,20000.0,0,0.0
2000-03-01,1.1635044813156128,1,20000.0,0,0,20000.0,0,0.0
2000-03-02,1.0892857313156128,0,20000.0,0,0,20000.0,0,0.0
2000-03-03,1.1428571939468384,0,20000.0,0,0,20000.0,0,0.0
2000-03-06,1.1222097873687744,0,20000.0,0,0,20000.0,0,0.0
2000-03-07,1.0970982313156128,0,20000.0,0,0,20000.0,0,0.0
2000-03-08,1.0892857313156128,0,20000.0,0,0,20000.0,0,0.0
2000-03-09,1.0915178060531616,0,20000.0,0,0,20000.0,0,0.0
2000-03-10,1.1227678060531616,0,20000.0,0,0,20000.0,0,0.0
2000-03-13,1.0831472873687744,-1,18618.70417798519,0,0,18618.70417798519,0,-0.06906479110074049
2000-03-14,1.0200892686843872,0,18618.70417798519,0,0,18618.70417798519,0,0.0
2000-03-15,1.0379464626312256,0,18618.70417798519,0,0,18618.70417798519,0,0.0
2000-03-16,1.0853794813156128,0,18618.70417798519,0,0,18618.70417798519,0,0.0
2000-03-17,1.1160714626312256,0,18618.70417798519,0,0,18618.70417798519,0,0.0
2000-03-20,1.0982142686843872,0,18618.70417798519,0,0,18618.70417798519,0,0.0
2000-03-21,1.2047990560531616,1,18618.70417798519,0,0,18618.70417798519,0,0.0
2000-03-22,1.2873884439468384,0,18618.70417798519,0,0,18618.70417798519,0,0.0
2000-03-23,1.26171875,0,18618.70417798519,0,0,18618.70417798519,0,0.0
2000-03-24,1.23828125,0,18618.70417798519,0,0,18618.70417798519,0,0.0
2000-03-27,1.24609375,0,18618.70417798519,0,0,18618.70417798519,0,0.0
2000-03-28,1.2421875,0,18618.70417798519,0,0,18618.70417798519,0,0.0
2000-03-29,1.2137277126312256,0,18618.70417798519,0,0,18618.70417798519,0,0.0
2000-03-30,1.1227678060531616,-1,17351.010972693573,0,0,17351.010972693573,0,-0.06808708023786858
2000-03-31,1.2126115560531616,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-03,1.1902902126312256,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-04,1.13671875,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-05,1.1640625,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-06,1.1177455186843872,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-07,1.1763392686843872,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-10,1.1160714626312256,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-11,1.06640625,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-12,0.9754464030265808,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-13,1.0161830186843872,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-14,0.9988839030265808,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-17,1.1060267686843872,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-18,1.1328125,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-19,1.0814732313156128,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-20,1.0613839626312256,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-24,1.0758928060531616,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-25,1.1456472873687744,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-26,1.0831472873687744,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-27,1.1316964626312256,1,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-04-28,1.1077009439468384,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-05-01,1.1099330186843872,0,17351.010972693573,0,0,17351.010972693573,0,0.0
2000-05-02,1.0524553060531616,-1,16136.096706656013,0,0,16136.096706656013,0,-0.07001979699912297
2000-05-03,1.02734375,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-04,0.98828125,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-05,1.0100446939468384,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-08,0.9832589030265808,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-09,0.94140625,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-10,0.88671875,0,16136.096706656013,0,0,16136.096706656013,0,0.0
